1	N	49
1	J	49
1	R	49
2	N	49
2	J	50
1	Z	50
2	R	50
3	N	64
2	J	65
3	J	65
3	R	65
3	Z	68
2	R	69
0	J	74
1	R	74
2	E	74
4	N	74
4	J	75
1	Z	75
4	R	75
4	J	90
4	J	105
5	N	107
5	J	107
4	Z	108
5	R	108
4	J	110
4	R	110
5	E	110
4	Z	115
0	R	116
4	J	3067
3	R	3067
3	Z	3067
0	R	3067
4	J	3512
4	R	3512
4	Z	3512
0	R	3512
4	J	3655
4	R	3655
4	Z	3655
0	R	3655
4	J	3685
4	R	3685
4	Z	3685
0	R	3685
4	J	3805
4	R	3805
4	Z	3805
0	R	3805
4	J	5243
4	R	5243
4	Z	5243
0	R	5243
4	J	5354
4	R	5354
4	Z	5354
0	R	5354
4	J	5486
4	R	5486
4	Z	5486
0	R	5486
4	J	5617
4	R	5618
4	Z	5618
0	R	5618
4	J	5870
4	R	5870
4	Z	5870
0	R	5870
4	J	5950
4	R	5950
4	Z	5951
0	R	5951
4	J	6221
4	R	6221
4	Z	6221
0	R	6222
4	J	6363
4	R	6363
4	Z	6363
0	R	6363
4	J	6423
4	R	6423
4	Z	6423
0	R	6423
4	J	6493
4	R	6493
4	Z	6493
0	R	6493
4	J	6662
4	R	6662
4	Z	6662
0	R	6662
4	J	6762
4	R	6762
4	Z	6762
0	R	6762
4	J	6841
4	R	6841
4	Z	6841
0	R	6841
4	J	6960
4	R	6960
4	Z	6960
0	R	6960
4	J	7954
4	R	7954
6	N	7955
6	J	7955
4	Z	7956
6	R	7956
7	N	7957
7	J	7958
8	N	7958
8	J	7959
9	N	7959
9	J	7959
10	N	7959
10	J	7960
11	N	7960
11	J	7961
12	N	7961
12	J	7961
13	N	7961
13	J	7962
14	N	7962
14	J	7963
15	N	7963
15	J	7963
16	N	7963
16	J	7964
6	Z	7964
16	R	7964
16	J	7979
15	R	7979
15	J	7994
14	R	7994
14	J	8009
13	R	8009
13	J	8024
12	R	8024
12	J	8039
11	R	8039
11	J	8054
10	R	8054
10	J	8069
9	R	8069
9	J	8084
8	R	8084
8	J	8099
7	R	8099
7	J	8114
16	R	8114
16	J	8129
15	R	8129
15	J	8144
14	R	8144
14	J	8159
13	R	8159
13	J	8174
12	R	8174
12	J	8189
11	R	8189
11	J	8204
10	R	8204
10	J	8219
9	R	8219
9	J	8234
8	R	8234
8	J	8249
7	R	8249
7	J	8264
16	R	8264
16	J	8279
15	R	8279
15	J	8294
14	R	8294
14	J	8309
13	R	8309
13	J	8324
12	R	8324
12	J	8339
11	R	8339
11	J	8354
10	R	8354
10	J	8369
9	R	8369
9	J	8384
8	R	8384
8	J	8399
7	R	8399
7	J	8414
16	R	8414
16	J	8429
15	R	8429
15	J	8444
14	R	8444
14	J	8459
13	R	8459
13	J	8474
12	R	8474
12	J	8489
11	R	8489
11	J	8504
10	R	8504
10	J	8519
9	R	8519
9	J	8534
8	R	8534
8	J	8549
7	R	8549
7	J	8564
16	R	8564
16	J	8579
15	R	8579
15	J	8594
14	R	8594
14	J	8609
13	R	8609
13	J	8624
12	R	8624
12	J	8639
11	R	8639
11	J	8654
10	R	8654
10	J	8669
9	R	8669
9	J	8684
8	R	8684
8	J	8699
7	R	8699
7	J	8714
16	R	8714
16	J	8729
15	R	8729
15	J	8744
14	R	8744
14	J	8759
13	R	8759
13	J	8774
12	R	8774
12	J	8789
11	R	8789
11	J	8804
10	R	8804
10	J	8819
9	R	8819
9	J	8834
8	R	8834
8	J	8849
7	R	8849
7	J	8864
16	R	8864
16	J	8879
15	R	8879
15	J	8894
14	R	8894
14	J	8909
13	R	8909
13	J	8924
12	R	8924
12	J	8939
11	R	8939
11	J	8954
10	R	8954
10	J	8969
9	R	8969
9	J	8984
8	R	8984
8	J	8999
7	R	8999
7	J	9014
16	R	9014
16	J	9029
15	R	9029
15	J	9044
14	R	9044
14	J	9059
13	R	9059
13	J	9074
12	R	9074
12	J	9089
11	R	9089
11	J	9104
10	R	9104
10	J	9119
9	R	9119
9	J	9134
8	R	9134
8	J	9149
7	R	9149
7	J	9164
16	R	9164
16	J	9179
15	R	9179
15	J	9194
14	R	9194
14	J	9209
13	R	9209
13	J	9224
12	R	9224
12	J	9239
11	R	9239
11	J	9254
10	R	9254
10	J	9269
9	R	9269
9	J	9284
8	R	9284
8	J	9299
7	R	9299
7	J	9314
16	R	9314
16	J	9329
15	R	9329
15	J	9344
14	R	9344
14	J	9359
13	R	9359
13	J	9374
12	R	9374
12	J	9389
11	R	9389
11	J	9404
10	R	9404
10	J	9419
9	R	9419
9	J	9434
8	R	9434
8	J	9449
7	R	9449
7	J	9464
16	R	9464
16	J	9479
15	R	9479
15	J	9494
14	R	9494
14	J	9509
13	R	9509
13	J	9524
12	R	9524
12	J	9539
11	R	9539
11	J	9554
10	R	9554
10	J	9569
9	R	9569
9	J	9584
8	R	9584
8	J	9599
7	R	9599
7	J	9614
16	R	9614
16	J	9629
15	R	9629
15	J	9644
14	R	9644
14	J	9659
13	R	9659
13	J	9674
12	R	9674
12	J	9689
11	R	9689
11	J	9704
10	R	9704
10	J	9719
9	R	9719
9	J	9734
8	R	9734
8	J	9749
7	R	9749
7	J	9764
16	R	9764
16	J	9779
15	R	9779
15	J	9794
14	R	9794
14	J	9809
13	R	9809
13	J	9824
12	R	9824
12	J	9839
11	R	9839
11	J	9854
10	R	9854
10	J	9869
9	R	9869
9	J	9884
8	R	9884
8	J	9899
7	R	9899
7	J	9914
16	R	9914
16	J	9929
15	R	9929
15	J	9944
14	R	9944
14	J	9959
13	R	9959
13	J	9974
12	R	9974
12	J	9989
11	R	9989
11	J	10004
10	R	10004
10	J	10019
9	R	10019
9	J	10034
8	R	10034
8	J	10049
7	R	10049
7	J	10064
16	R	10064
16	J	10079
15	R	10079
15	J	10094
14	R	10094
14	J	10109
